fid;Tipologia d'espai;Carrer;Barri;Tipologia;Notes;Revisió;X;Y;GENERE
7;;;;;;Si;431056,9042;4585925,942;FEM
8;Comerç de cura;C. Felip II;La Sagrera;Forn;;No;432090,5335;4585730,771;FEM
9;Centre cultural;Av. Meridiana;La Sagrera;Fundació;;No;432086,752;4585745,162;FEM
10;Centre estètic;Av. Meridiana;La Sagrera;Ungles;''vietnamita'';Si;432081,7099;4585820,058;FEM
11;Comerç de cura;Av. Meridiana;La Sagrera;Óptica;;No;432081,4998;4585867,328;FEM
12;Comerç de cura;Av. Meridiana;La Sagrera;Forn;;No;432082,13;4585860,5;FEM
13;Comerç de cura;C. d'Hondures;La Sagrera;Farmàcia;;No;432173,7281;4585829,722;FEM
14;Comerç de cura;C. d'Hondures;La Sagrera;Fisioterapia;;No;432144,0533;4585821,477;FEM
15;Comerç de cura;C. d'Hondures;La Sagrera;Supermercat;;No;432136,3851;4585870,637;FEM
16;Comerç de cura;Av. Meridiana;La Sagrera;Viatges;;No;432082,2351;4585931,418;FEM
17;(Super)mercat;C. d'Hondures;La Sagrera;Supermercat;Caprabo;No;432098,937;4585906,733;FEM
18;(Super)mercat;Av. Meridiana;La Sagrera;Supermercat;Latino;Si;432083,3906;4585945,389;FEM
19;Comerç de cura;Av. Meridiana;La Sagrera;Forn;Element de classe (forn fashion) Granier;No;432083,0754;4585942,447;FEM
20;Comerç de cura;Av. Meridiana;La Sagrera;Forn;MaxiPa;No;432084,7561;4586065,086;FEM
21;Comerç de cura;Av. Meridiana;La Sagrera;Forn;;No;432084,2309;4586068,657;FEM
22;Comerç de cura;Av. Meridiana;La Sagrera;Roba;;No;432085,0713;4586055,527;FEM
23;Comerç de cura;Av. Meridiana;La Sagrera;Tintoreria;;No;432084,1259;4586072,229;FEM
24;(Super)mercat;Av. Meridiana;La Sagrera;Todo a 100;;No;432084,1521;4586070,968;FEM
25;Comerç de cura;Av. Meridiana;La Sagrera;Forn;365;No;432083,4168;4586097,439;FEM
26;Comerç de cura;Av. Meridiana;La Sagrera;Roba;;No;432083,4168;4586104,687;FEM
27;(Super)mercat;Av. Meridiana;La Sagrera;Supermercat;;No;432085,0187;4586173,176;FEM
28;(Super)mercat;Av. Meridiana;La Sagrera;Supermercat;;No;432085,1763;4586177,745;FEM
29;Comerç de cura;Av. Meridiana;La Sagrera;Roba;Humana;No;432085,649;4586169,867;FEM
30;Comerç de cura;Av. Meridiana;La Sagrera;Dentista;;No;432085,7278;4586166,952;FEM
